	impact	impact_unit	stressor	factor
78633	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	Cr - non combustion - Steel production: basic oxygen furnace - air	521.3592427
78634	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	Cr - non combustion - Steel production: electric arc furnace - air	521.3592427
78635	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	Cr - non combustion - Steel production: open hearth furnace - air	521.3592427
78636	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	Cu - non combustion - Agglomeration plant - pellets - air	23320.11995
78637	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	Cu - non combustion - Agglomeration plant - sinter - air	23320.11995
78638	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	Cu - non combustion - Glass production - air	23320.11995
78639	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	Cu - non combustion - Pig iron production, blast furnace - air	23320.11995
78640	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	Cu - non combustion - Steel production: basic oxygen furnace - air	23320.11995
78641	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	Cu - non combustion - Steel production: electric arc furnace - air	23320.11995
78642	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	Cu - non combustion - Steel production: open hearth furnace - air	23320.11995
78643	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	HCB - non combustion - Agglomeration plant - pellets - air	621.9127738
78644	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	HCB - non combustion - Agglomeration plant - sinter - air	621.9127738
78645	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	Hg - non combustion - Agglomeration plant - pellets - air	12297.33467
78646	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	Hg - non combustion - Agglomeration plant - sinter - air	12297.33467
78647	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	Hg - non combustion - Glass production - air	12297.33467
78648	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	Hg - non combustion - Nickel, unwrought - air	12297.33467
78649	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	Hg - non combustion - Pig iron production, blast furnace - air	12297.33467
78650	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	Hg - non combustion - Production of coke oven coke - air	12297.33467
78651	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	Hg - non combustion - Production of gascoke - air	12297.33467
78652	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	Hg - non combustion - Refined copper; unwrought, not alloyed - air	12297.33467
78653	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	Hg - non combustion - Refined lead, unwrought - air	12297.33467
78654	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	HCB - non combustion - Secondary aluminium production - air	621.9127738
78655	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	Hg - non combustion - Steel production: basic oxygen furnace - air	12297.33467
78656	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	Hg - non combustion - Steel production: electric arc furnace - air	12297.33467
78657	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	Hg - non combustion - Unrefined copper; copper anodes for electrolytic refining - air	12297.33467
78658	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	Hg - non combustion - Zinc, unwrought, not alloyed - air	12297.33467
78659	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	Indeno - non combustion - Primary aluminium production - air	0.531497366
78660	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	Indeno - non combustion - Production of coke oven coke - air	0.531497366
78661	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	Indeno - non combustion - Production of gascoke - air	0.531497366
78732	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	Ni - non combustion - Agglomeration plant - pellets - air	6137.384705
78733	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	Ni - non combustion - Agglomeration plant - sinter - air	6137.384705
78734	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	Ni - non combustion - Glass production - air	6137.384705
78735	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	Ni - non combustion - Production of coke oven coke - air	6137.384705
78736	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	Ni - non combustion - Production of gascoke - air	6137.384705
78737	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	Ni - non combustion - Steel production: basic oxygen furnace - air	6137.384705
78738	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	Ni - non combustion - Steel production: electric arc furnace - air	6137.384705
78739	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	Ni - non combustion - Steel production: open hearth furnace - air	6137.384705
78752	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	PCDD/F - non combustion - Agglomeration plant - pellets - air	106410.8281
78753	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	PCDD/F - non combustion - Agglomeration plant - sinter - air	106410.8281
78754	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	PCDD/F - non combustion - Pig iron production, blast furnace - air	106410.8281
78755	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	PCDD/F - non combustion - Secondary aluminium production - air	106410.8281
78756	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	PCDD/F - non combustion - Steel production: basic oxygen furnace - air	106410.8281
78757	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	PCDD/F - non combustion - Steel production: electric arc furnace - air	106410.8281
78850	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	Pb - non combustion - Agglomeration plant - pellets - air	176.062889
78851	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	Pb - non combustion - Agglomeration plant - sinter - air	176.062889
78852	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	Pb - non combustion - Glass production - air	176.062889
78853	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	Pb - non combustion - Nickel, unwrought - air	176.062889
78854	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	Pb - non combustion - Pig iron production, blast furnace - air	176.062889
78855	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	Pb - non combustion - Production of coke oven coke - air	176.062889
78856	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	Pb - non combustion - Production of gascoke - air	176.062889
78857	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	Pb - non combustion - Refined copper; unwrought, not alloyed - air	176.062889
78858	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	Pb - non combustion - Refined lead, unwrought - air	176.062889
78859	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	Pb - non combustion - Steel production: basic oxygen furnace - air	176.062889
78860	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	Pb - non combustion - Steel production: electric arc furnace - air	176.062889
78861	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	Pb - non combustion - Steel production: open hearth furnace - air	176.062889
78862	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	Pb - non combustion - Unrefined copper; copper anodes for electrolytic refining - air	176.062889
78863	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	Pb - non combustion - Zinc, unwrought, not alloyed - air	176.062889
78883	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	Se - non combustion - Agglomeration plant - pellets - air	2989.82139
78884	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	Se - non combustion - Agglomeration plant - sinter - air	2989.82139
78885	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	Se - non combustion - Glass production - air	2989.82139
78886	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	Se - non combustion - Steel production: basic oxygen furnace - air	2989.82139
78933	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	Zn - non combustion - Agglomeration plant - pellets - air	16872.47176
78934	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	Zn - non combustion - Agglomeration plant - sinter - air	16872.47176
78935	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	Zn - non combustion - Glass production - air	16872.47176
78936	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	Zn - non combustion - Nickel, unwrought - air	16872.47176
78937	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	Zn - non combustion - Pig iron production, blast furnace - air	16872.47176
78938	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	Zn - non combustion - Refined copper; unwrought, not alloyed - air	16872.47176
78939	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	Zn - non combustion - Refined lead, unwrought - air	16872.47176
78940	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	Zn - non combustion - Steel production: basic oxygen furnace - air	16872.47176
78941	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	Zn - non combustion - Steel production: electric arc furnace - air	16872.47176
78942	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	Zn - non combustion - Steel production: open hearth furnace - air	16872.47176
78943	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	Zn - non combustion - Unrefined copper; copper anodes for electrolytic refining - air	16872.47176
78944	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	Zn - non combustion - Zinc, unwrought, not alloyed - air	16872.47176
102443	EPS | Damage Approach | EPS (Steen, 1999))	elu	CO2 - combustion - air	0.108
102444	EPS | Damage Approach | EPS (Steen, 1999))	elu	CH4 - combustion - air	2.72
102445	EPS | Damage Approach | EPS (Steen, 1999))	elu	N2O - combustion - air	38.3
102446	EPS | Damage Approach | EPS (Steen, 1999))	elu	SOx - combustion - air	3.27
102447	EPS | Damage Approach | EPS (Steen, 1999))	elu	NOx - combustion - air	2.13
102448	EPS | Damage Approach | EPS (Steen, 1999))	elu	NH3 - combustion - air	2.9
102449	EPS | Damage Approach | EPS (Steen, 1999))	elu	CO - combustion - air	0.331
102458	EPS | Damage Approach | EPS (Steen, 1999))	elu	PM10 - combustion - air	36.0
102461	EPS | Damage Approach | EPS (Steen, 1999))	elu	As - combustion - air	95.3
102462	EPS | Damage Approach | EPS (Steen, 1999))	elu	Cd - combustion - air	10.2
102465	EPS | Damage Approach | EPS (Steen, 1999))	elu	Hg - combustion - air	61.4
102467	EPS | Damage Approach | EPS (Steen, 1999))	elu	Pb - combustion - air	2910.0
102470	EPS | Damage Approach | EPS (Steen, 1999))	elu	As - non combustion - Agglomeration plant - pellets - air	95.3
102471	EPS | Damage Approach | EPS (Steen, 1999))	elu	As - non combustion - Agglomeration plant - sinter - air	95.3
102472	EPS | Damage Approach | EPS (Steen, 1999))	elu	As - non combustion - Glass production - air	95.3
102473	EPS | Damage Approach | EPS (Steen, 1999))	elu	As - non combustion - Production of coke oven coke - air	95.3
102474	EPS | Damage Approach | EPS (Steen, 1999))	elu	As - non combustion - Production of gascoke - air	95.3
102475	EPS | Damage Approach | EPS (Steen, 1999))	elu	As - non combustion - Steel production: basic oxygen furnace - air	95.3
102476	EPS | Damage Approach | EPS (Steen, 1999))	elu	As - non combustion - Steel production: electric arc furnace - air	95.3
102477	EPS | Damage Approach | EPS (Steen, 1999))	elu	As - non combustion - Steel production: open hearth furnace - air	95.3
102487	EPS | Damage Approach | EPS (Steen, 1999))	elu	CH4 - non combustion - Extraction/production of (natural) gas - air	2.72
102488	EPS | Damage Approach | EPS (Steen, 1999))	elu	CH4 - non combustion - Extraction/production of crude oil - air	2.72
102489	EPS | Damage Approach | EPS (Steen, 1999))	elu	CH4 - non combustion - Mining of antracite - air	2.72
102490	EPS | Damage Approach | EPS (Steen, 1999))	elu	CH4 - non combustion - Mining of bituminous coal - air	2.72
102491	EPS | Damage Approach | EPS (Steen, 1999))	elu	CH4 - non combustion - Mining of coking coal - air	2.72
102492	EPS | Damage Approach | EPS (Steen, 1999))	elu	CH4 - non combustion - Mining of lignite (brown coal) - air	2.72
102493	EPS | Damage Approach | EPS (Steen, 1999))	elu	CH4 - non combustion - Mining of sub-bituminous coal - air	2.72
102494	EPS | Damage Approach | EPS (Steen, 1999))	elu	CH4 - non combustion - Oil refinery - air	2.72
102495	EPS | Damage Approach | EPS (Steen, 1999))	elu	CO - non combustion - Agglomeration plant - sinter - air	0.331
102496	EPS | Damage Approach | EPS (Steen, 1999))	elu	CO - non combustion - Bricks production - air	0.331
102497	EPS | Damage Approach | EPS (Steen, 1999))	elu	CO - non combustion - Carbon black production - air	0.331
102498	EPS | Damage Approach | EPS (Steen, 1999))	elu	CO - non combustion - Cement production - air	0.331
102499	EPS | Damage Approach | EPS (Steen, 1999))	elu	CO - non combustion - Chemical wood pulp, dissolving grades - air	0.331
102500	EPS | Damage Approach | EPS (Steen, 1999))	elu	CO - non combustion - Chemical wood pulp, soda and sulphate, other than dissolving grades - air	0.331
102501	EPS | Damage Approach | EPS (Steen, 1999))	elu	CO - non combustion - Chemical wood pulp, sulphite, other than dissolving grades - air	0.331
102502	EPS | Damage Approach | EPS (Steen, 1999))	elu	CO - non combustion - Glass production - air	0.331
102503	EPS | Damage Approach | EPS (Steen, 1999))	elu	CO - non combustion - Lime production - air	0.331
102504	EPS | Damage Approach | EPS (Steen, 1999))	elu	CO - non combustion - Oil refinery - air	0.331
102505	EPS | Damage Approach | EPS (Steen, 1999))	elu	CO - non combustion - Pig iron production, blast furnace - air	0.331
102506	EPS | Damage Approach | EPS (Steen, 1999))	elu	CO - non combustion - Primary aluminium production - air	0.331
102507	EPS | Damage Approach | EPS (Steen, 1999))	elu	CO - non combustion - Production of coke oven coke - air	0.331
102508	EPS | Damage Approach | EPS (Steen, 1999))	elu	CO - non combustion - Production of gascoke - air	0.331
102509	EPS | Damage Approach | EPS (Steen, 1999))	elu	CO - non combustion - Semi-chemical wood pulp, pulp of fibers other than wood - air	0.331
102510	EPS | Damage Approach | EPS (Steen, 1999))	elu	CO - non combustion - Steel production: basic oxygen furnace - air	0.331
102511	EPS | Damage Approach | EPS (Steen, 1999))	elu	CO - non combustion - Steel production: electric arc furnace - air	0.331
102512	EPS | Damage Approach | EPS (Steen, 1999))	elu	CO2 - non combustion - Cement production - air	0.108
102513	EPS | Damage Approach | EPS (Steen, 1999))	elu	CO2 - non combustion - Lime production - air	0.108
102514	EPS | Damage Approach | EPS (Steen, 1999))	elu	Cd - non combustion - Agglomeration plant - pellets - air	10.2
102515	EPS | Damage Approach | EPS (Steen, 1999))	elu	Cd - non combustion - Agglomeration plant - sinter - air	10.2
102516	EPS | Damage Approach | EPS (Steen, 1999))	elu	Cd - non combustion - Glass production - air	10.2
102517	EPS | Damage Approach | EPS (Steen, 1999))	elu	Cd - non combustion - Nickel, unwrought - air	10.2
102518	EPS | Damage Approach | EPS (Steen, 1999))	elu	Cd - non combustion - Production of coke oven coke - air	10.2
102519	EPS | Damage Approach | EPS (Steen, 1999))	elu	Cd - non combustion - Production of gascoke - air	10.2
102520	EPS | Damage Approach | EPS (Steen, 1999))	elu	Cd - non combustion - Refined copper; unwrought, not alloyed - air	10.2
102521	EPS | Damage Approach | EPS (Steen, 1999))	elu	Cd - non combustion - Refined lead, unwrought - air	10.2
